name,organ_dice,organ_nsd,tumor_dice,tumor_nsd
D:\projects\DiffTumor\fifty_test\labelsTr\289,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\290,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\291,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\292,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\293,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\294,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\295,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\296,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\297,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\298,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\299,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\300,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\301,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\302,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\303,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\304,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\305,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\306,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\307,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\308,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\309,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\310,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\311,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\312,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\313,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\314,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\315,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\316,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\317,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\318,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\319,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\320,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\321,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\322,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\323,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\324,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\325,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\326,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\327,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\328,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\329,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\330,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\331,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\332,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\333,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\334,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\335,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\336,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\337,1.0,1.0,0.0,0.0
D:\projects\DiffTumor\fifty_test\labelsTr\338,1.0,1.0,0.0,0.0
average,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
